address_a,address_b,port_a,port_b,bytes,packets,start,duration,label,ip.proto,ip.len,frame.time
192.168.1.54,192.0.66.32,51938,443,54,1,2024-03-25 05:38:12.124864,0,nypost,6,40,2024-03-25 05:38:12.124864
192.168.1.54,192.0.66.32,51938,443,54,1,2024-03-25 05:38:12.126802,0,nypost,6,40,2024-03-25 05:38:12.126802
192.168.1.54,192.0.66.32,51938,443,60,1,2024-03-25 05:38:12.126879,0,nypost,6,46,2024-03-25 05:38:12.126879
192.168.1.54,192.0.66.32,51938,443,112,1,2024-03-25 05:38:12.126911,0,nypost,6,98,2024-03-25 05:38:12.126911
192.168.1.54,192.0.66.32,51938,443,140,1,2024-03-25 05:38:12.127028,0,nypost,6,126,2024-03-25 05:38:12.127028
192.168.1.54,192.0.66.32,51938,443,116,1,2024-03-25 05:38:12.127105,0,nypost,6,102,2024-03-25 05:38:12.127105
192.0.66.32,192.168.1.54,443,51938,60,1,2024-03-25 05:38:12.134841,0,nypost,6,40,2024-03-25 05:38:12.134841
192.0.66.32,192.168.1.54,443,51938,325,1,2024-03-25 05:38:12.134849,0,nypost,6,311,2024-03-25 05:38:12.134849
192.0.66.32,192.168.1.54,443,51938,325,1,2024-03-25 05:38:12.134853,0,nypost,6,311,2024-03-25 05:38:12.134853
192.0.66.32,192.168.1.54,443,51938,125,1,2024-03-25 05:38:12.134856,0,nypost,6,111,2024-03-25 05:38:12.134856
192.0.66.32,192.168.1.54,443,51938,540,1,2024-03-25 05:38:12.134860,0,nypost,6,526,2024-03-25 05:38:12.134860
192.168.1.54,192.0.66.32,51938,443,54,1,2024-03-25 05:38:12.135011,0,nypost,6,40,2024-03-25 05:38:12.135011
192.168.1.54,192.0.66.32,51938,443,85,1,2024-03-25 05:38:12.135300,0,nypost,6,71,2024-03-25 05:38:12.135300
192.168.1.54,192.0.66.32,51938,443,78,1,2024-03-25 05:38:12.135549,0,nypost,6,64,2024-03-25 05:38:12.135549
192.168.1.54,192.0.66.32,51938,443,54,1,2024-03-25 05:38:12.137141,0,nypost,6,40,2024-03-25 05:38:12.137141
192.0.66.32,192.168.1.54,443,51938,60,1,2024-03-25 05:38:12.142857,0,nypost,6,40,2024-03-25 05:38:12.142857
192.0.66.32,192.168.1.54,443,51938,60,1,2024-03-25 05:38:12.142862,0,nypost,6,40,2024-03-25 05:38:12.142862
192.168.1.54,192.0.66.32,51938,443,54,1,2024-03-25 05:38:12.143031,0,nypost,6,40,2024-03-25 05:38:12.143031
192.168.1.54,192.0.66.32,51939,443,78,1,2024-03-25 05:38:13.178105,0,nypost,6,64,2024-03-25 05:38:13.178105
192.0.66.32,192.168.1.54,443,51939,66,1,2024-03-25 05:38:13.189700,0,nypost,6,52,2024-03-25 05:38:13.189700
192.168.1.54,192.0.66.32,51939,443,54,1,2024-03-25 05:38:13.189901,0,nypost,6,40,2024-03-25 05:38:13.189901
192.168.1.54,192.0.66.32,51939,443,378,1,2024-03-25 05:38:13.190477,0,nypost,6,364,2024-03-25 05:38:13.190477
192.0.66.32,192.168.1.54,443,51939,60,1,2024-03-25 05:38:13.201865,0,nypost,6,40,2024-03-25 05:38:13.201865
192.0.66.32,192.168.1.54,443,51939,1514,1,2024-03-25 05:38:13.205723,0,nypost,6,1500,2024-03-25 05:38:13.205723
192.0.66.32,192.168.1.54,443,51939,1514,1,2024-03-25 05:38:13.205730,0,nypost,6,1500,2024-03-25 05:38:13.205730
192.0.66.32,192.168.1.54,443,51939,1230,1,2024-03-25 05:38:13.205734,0,nypost,6,1216,2024-03-25 05:38:13.205734
192.0.66.32,192.168.1.54,443,51939,88,1,2024-03-25 05:38:13.205739,0,nypost,6,74,2024-03-25 05:38:13.205739
192.168.1.54,192.0.66.32,51939,443,54,1,2024-03-25 05:38:13.205900,0,nypost,6,40,2024-03-25 05:38:13.205900
192.168.1.54,192.0.66.32,51939,443,54,1,2024-03-25 05:38:13.208477,0,nypost,6,40,2024-03-25 05:38:13.208477
192.168.1.54,192.0.66.32,51939,443,60,1,2024-03-25 05:38:13.208629,0,nypost,6,46,2024-03-25 05:38:13.208629
192.168.1.54,192.0.66.32,51939,443,112,1,2024-03-25 05:38:13.208705,0,nypost,6,98,2024-03-25 05:38:13.208705
192.168.1.54,192.0.66.32,51939,443,140,1,2024-03-25 05:38:13.208872,0,nypost,6,126,2024-03-25 05:38:13.208872
192.168.1.54,192.0.66.32,51939,443,116,1,2024-03-25 05:38:13.208991,0,nypost,6,102,2024-03-25 05:38:13.208991
192.0.66.32,192.168.1.54,443,51939,60,1,2024-03-25 05:38:13.215717,0,nypost,6,40,2024-03-25 05:38:13.215717
192.0.66.32,192.168.1.54,443,51939,325,1,2024-03-25 05:38:13.215722,0,nypost,6,311,2024-03-25 05:38:13.215722
