ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,bytes,packets,start,duration,label,ip.proto,ip.len,frame.time
172.28.0.12,192.0.66.32,45596,443,,,54,1,2024-03-26 03:14:52.089332,0,nypost,6,40,2024-03-26 03:14:52.089332
172.28.0.12,192.0.66.32,45596,443,,,134,1,2024-03-26 03:14:52.092797,0,nypost,6,120,2024-03-26 03:14:52.092797
172.28.0.12,192.0.66.32,45596,443,,,100,1,2024-03-26 03:14:52.092985,0,nypost,6,86,2024-03-26 03:14:52.092985
172.28.0.12,192.0.66.32,45596,443,,,103,1,2024-03-26 03:14:52.093019,0,nypost,6,89,2024-03-26 03:14:52.093019
172.28.0.12,192.0.66.32,45596,443,,,89,1,2024-03-26 03:14:52.093042,0,nypost,6,75,2024-03-26 03:14:52.093042
172.28.0.12,192.0.66.32,45596,443,,,116,1,2024-03-26 03:14:52.093091,0,nypost,6,102,2024-03-26 03:14:52.093091
192.0.66.32,172.28.0.12,443,45596,,,341,1,2024-03-26 03:14:52.107902,0,nypost,6,327,2024-03-26 03:14:52.107902
192.0.66.32,172.28.0.12,443,45596,,,341,1,2024-03-26 03:14:52.107905,0,nypost,6,327,2024-03-26 03:14:52.107905
192.0.66.32,172.28.0.12,443,45596,,,116,1,2024-03-26 03:14:52.107906,0,nypost,6,102,2024-03-26 03:14:52.107906
192.0.66.32,172.28.0.12,443,45596,,,54,1,2024-03-26 03:14:52.107968,0,nypost,6,40,2024-03-26 03:14:52.107968
172.28.0.12,192.0.66.32,45596,443,,,54,1,2024-03-26 03:14:52.108149,0,nypost,6,40,2024-03-26 03:14:52.108149
172.28.0.12,192.0.66.32,45596,443,,,85,1,2024-03-26 03:14:52.108212,0,nypost,6,71,2024-03-26 03:14:52.108212
